2026-05-14 11:36:22 | INFO | src.config | run=7d3d6a61 | Logging configured | level=INFO file=logs\ma_rag_20260514_113622.log run_id=7d3d6a61
2026-05-14 11:36:22 | INFO | __main__ | run=7d3d6a61 | Initializing workflow for single-question test...
2026-05-14 11:42:00 | INFO | __main__ | run=7d3d6a61 | ================================================================================

2026-05-14 11:42:00 | INFO | __main__ | run=7d3d6a61 | Evidence Pool Size: 3 items
2026-05-14 11:42:00 | INFO | __main__ | run=7d3d6a61 | 
Claim Extraction & Clustering:
2026-05-14 11:42:00 | INFO | __main__ | run=7d3d6a61 |   - Extracted claims: 42
2026-05-14 11:42:00 | INFO | __main__ | run=7d3d6a61 |   - Claim clusters: 33
2026-05-14 11:42:00 | INFO | __main__ | run=7d3d6a61 |   - Cluster sizes: min=1, max=4, avg=1.3
2026-05-14 11:42:00 | INFO | __main__ | run=7d3d6a61 |   ✓ PASS: Populated claim_clusters
2026-05-14 11:42:00 | INFO | __main__ | run=7d3d6a61 | 
Trace Events: 6 events recorded
2026-05-14 11:42:00 | INFO | __main__ | run=7d3d6a61 |   - claim_clustering: 1 events
2026-05-14 11:42:00 | INFO | __main__ | run=7d3d6a61 |   - conflict_analysis: 1 events
2026-05-14 11:42:00 | INFO | __main__ | run=7d3d6a61 |   - contrastive_retrieval: 1 events
2026-05-14 11:42:00 | INFO | __main__ | run=7d3d6a61 |   - epistemic_scoring: 1 events
2026-05-14 11:42:00 | INFO | __main__ | run=7d3d6a61 |   - pico_extraction: 1 events
2026-05-14 11:42:00 | INFO | __main__ | run=7d3d6a61 |   - uncertainty_propagation: 1 events
2026-05-14 11:42:00 | INFO | __main__ | run=7d3d6a61 | 
Full trace saved to: results\test_single_question_20260514_114200.json
2026-05-14 11:42:00 | INFO | __main__ | run=7d3d6a61 | 
================================================================================
2026-05-14 11:42:00 | INFO | __main__ | run=7d3d6a61 | ✓ Single-question test completed successfully
2026-05-14 11:42:00 | INFO | __main__ | run=7d3d6a61 | ================================================================================

